0.45,0.63,0.63,23.61,45.69,44.25,1.97,1.26,3.41,0.54,0.63,0.54,31.60,48.47,42.10,6.01,3.50,7.72,0.90,0.90,0.63,39.23,48.74,37.61,14.18,9.16,15.62,35.19,34.56,35.28,45.33,49.37,45.78,43.09,40.75,44.17,38.51,39.05,38.69,47.94,49.46,48.03,47.58,46.59,47.67,42.37,41.65,41.74,49.19,49.46,48.38,48.83,48.20,48.74,38.15,37.70,37.52,46.68,49.55,46.95,44.52,43.00,45.24,41.56,41.38,40.84,48.65,49.64,48.38,47.76,47.58,48.29,43.72,43.63,42.73,49.46,49.73,49.10,48.83,48.74,49.01,1.35,1.44,1.71,1.62,13.11,11.22,0.72,0.63,0.63,1.44,1.26,1.62,4.04,18.22,23.34,0.90,0.63,0.72,0.99,0.99,1.26,7.99,25.13,27.47,0.90,0.72,0.72,14.72,13.55,13.91,24.69,35.55,22.62,13.38,11.94,14.99,16.25,15.26,16.25,35.46,43.00,33.12,22.89,19.57,24.51,19.12,17.77,19.30,41.83,46.14,39.32,30.16,25.31,30.34,16.43,16.25,16.34,27.20,35.73,22.80,18.49,16.34,19.21,18.94,18.13,18.67,36.98,43.45,35.55,26.57,22.71,27.38,21.72,21.63,21.81,43.45,46.68,40.39,31.78,28.01,32.50,10.95,9.78,12.21,5.48,6.91,7.45,7.63,5.92,9.61,9.78,9.34,11.13,3.14,5.48,3.86,6.01,4.49,7.36,8.98,8.26,10.50,2.78,6.64,4.13,4.94,3.50,5.66,16.34,15.26,16.79,4.04,7.99,4.85,11.40,11.04,12.21,15.80,15.98,16.25,4.85,10.41,6.37,12.21,12.30,12.21,15.44,16.25,15.71,7.36,13.29,10.23,13.20,14.45,12.39,17.32,17.06,18.31,4.49,8.89,5.30,14.72,14.36,14.99,17.77,17.15,17.68,5.75,11.58,6.01,14.72,15.53,14.36,17.59,18.40,18.31,8.89,16.52,9.16,16.16,17.77,15.98
1.80,1.44,1.80,23.43,46.68,42.19,7.27,4.04,10.05,3.32,3.23,2.96,33.93,48.11,38.15,17.86,12.30,19.30,5.21,5.03,4.76,41.29,49.01,36.45,28.10,22.35,28.10,42.19,41.02,41.92,47.04,49.55,46.59,47.22,45.06,47.31,44.34,43.81,44.08,48.65,49.64,48.20,48.92,48.11,48.83,46.50,46.59,46.32,49.19,49.64,48.92,49.19,49.19,49.28,43.09,42.82,43.72,48.03,49.55,47.31,47.49,46.68,47.67,46.14,45.33,45.15,49.37,49.73,48.74,49.01,48.65,49.01,46.95,47.31,46.59,49.28,49.73,49.28,49.37,49.19,49.46,0.45,0.54,0.81,9.34,23.07,5.12,0.63,0.18,0.54,0.72,0.72,0.90,10.59,26.75,9.61,0.63,0.36,0.81,0.45,0.36,0.81,18.85,32.05,11.94,2.15,0.63,2.96,21.10,20.20,20.47,36.71,41.65,18.22,22.89,19.57,24.06,23.88,23.25,23.79,44.25,47.13,32.59,31.51,28.01,33.30,26.39,26.66,27.29,47.22,48.65,38.24,38.24,35.19,39.59,23.25,22.35,23.16,38.06,41.56,23.34,26.66,23.97,28.10,26.21,25.67,26.48,44.43,46.68,35.10,34.92,30.88,35.28,29.26,28.01,29.35,47.40,48.47,42.10,38.78,36.09,40.22,5.66,4.94,5.66,8.71,15.08,10.50,3.95,3.05,4.13,5.39,4.49,5.83,7.27,15.89,9.16,3.95,3.59,4.31,4.31,3.95,4.85,5.66,14.27,8.44,4.22,3.14,3.77,15.44,14.81,15.08,8.98,18.40,9.69,12.57,13.02,12.39,16.88,16.43,16.07,7.90,19.30,9.34,14.54,16.97,14.72,16.79,18.31,16.97,11.04,20.47,9.87,16.61,19.75,16.70,18.04,18.04,18.04,7.63,16.52,7.18,16.52,17.06,16.07,18.49,19.03,18.22,9.25,19.84,7.81,19.57,20.20,18.67,19.30,20.92,18.58,13.11,23.16,8.80,21.10,24.42,20.65
0.63,0.63,0.63,21.36,43.99,43.18,3.05,1.17,5.03,0.54,0.63,0.72,30.07,47.58,39.95,8.53,5.03,11.22,1.44,1.08,1.35,39.23,48.29,36.45,18.22,11.94,18.94,37.25,36.27,36.98,45.69,49.37,46.05,44.17,41.65,44.34,40.48,40.31,40.13,48.20,49.46,48.11,48.11,47.31,47.94,43.72,43.90,42.91,49.19,49.46,48.74,48.92,48.56,49.10,40.31,39.32,38.87,46.95,49.55,46.41,45.42,44.43,45.87,43.36,42.55,42.10,48.92,49.73,49.10,48.11,47.76,48.47,44.97,45.06,43.99,49.19,49.73,49.37,48.92,49.01,49.10,2.42,2.69,2.87,1.80,9.87,10.68,1.17,0.90,1.08,1.62,1.89,2.42,3.77,15.89,19.84,1.17,0.54,1.08,1.35,1.62,1.44,7.54,21.72,23.34,1.08,0.99,1.26,16.07,15.08,15.80,21.27,28.99,19.93,16.07,13.46,18.13,17.50,17.06,18.04,33.03,38.78,30.07,25.58,20.92,25.85,21.63,20.29,20.65,40.39,44.17,37.70,32.05,27.38,32.85,18.40,17.68,17.86,24.33,30.97,20.11,20.38,18.31,21.81,21.45,21.01,20.83,35.19,39.50,33.30,29.26,24.33,28.90,23.34,23.25,23.61,42.28,45.96,39.59,33.57,30.07,34.29,12.30,11.22,13.20,13.20,14.45,14.99,10.50,8.08,12.57,10.59,9.78,11.22,4.94,9.07,6.55,8.26,5.48,10.14,9.34,8.98,10.41,3.50,8.35,4.22,5.92,4.49,7.72,17.06,16.07,17.32,6.64,12.48,7.18,12.66,12.39,13.02,16.79,16.97,17.24,5.30,11.04,6.28,13.11,13.02,12.57,17.24,17.68,16.61,6.55,13.29,7.81,13.64,15.44,12.75,17.15,17.24,17.95,6.64,11.76,7.27,16.52,15.53,15.53,18.22,17.41,18.31,6.28,13.20,5.66,16.34,17.15,15.44,18.85,18.40,18.04,8.71,16.25,7.36,16.79,19.30,16.52
20.65,20.92,21.01,5.57,32.32,22.62,14.36,15.44,14.54,19.66,20.02,20.83,8.35,38.96,23.43,16.16,15.62,17.06,19.03,19.03,19.48,14.99,40.84,21.18,21.63,21.10,21.01,26.30,24.06,23.52,25.67,37.16,20.74,37.70,34.02,36.89,29.44,30.52,28.64,27.38,39.41,20.92,43.09,41.92,43.54,33.03,33.66,32.32,29.89,43.45,22.35,44.97,44.79,45.24,27.38,27.92,26.66,32.94,45.24,29.53,39.86,37.52,40.04,31.69,31.24,30.34,34.92,46.86,28.28,44.70,43.72,44.97,35.46,35.82,34.02,35.64,47.67,26.75,46.14,45.24,46.32,34.92,35.73,34.20,8.26,13.38,9.16,25.04,26.12,25.40,32.23,33.48,32.14,7.81,17.06,9.34,21.45,22.08,22.26,29.44,31.69,30.97,9.96,21.72,9.69,19.03,19.21,19.39,16.43,17.77,16.61,18.85,28.37,8.89,13.38,11.94,12.93,15.08,16.61,16.43,27.74,35.46,14.99,16.43,14.99,17.95,14.99,16.07,15.89,33.21,39.68,19.12,23.34,20.29,24.69,18.67,18.22,18.94,21.63,27.65,10.95,14.18,15.08,14.90,17.68,18.13,18.04,31.60,35.82,18.40,18.22,16.25,19.93,17.50,17.95,18.76,36.27,41.56,24.60,24.06,21.99,25.13,58.53,56.91,59.78,65.53,67.06,64.90,50.09,49.19,56.46,57.36,56.46,58.80,53.95,55.21,56.46,43.63,42.01,51.44,54.76,54.67,57.18,45.24,47.49,49.64,39.50,37.70,45.51,31.15,29.80,31.69,41.02,43.72,42.82,24.06,23.07,27.02,28.99,29.26,29.08,33.30,36.45,38.33,20.74,19.48,23.61,27.38,27.92,28.19,24.87,30.70,32.76,19.48,19.75,21.01,32.23,30.52,31.69,40.84,42.55,39.86,21.90,23.25,27.20,31.78,28.99,30.97,31.60,35.55,35.01,21.99,20.83,23.79,29.98,28.37,28.99,23.88,30.52,29.35,19.84,20.11,21.54
28.82,28.19,28.28,16.34,6.55,17.32,22.44,23.07,23.61,26.30,26.84,27.29,14.99,12.66,23.79,24.51,23.43,24.78,25.67,23.88,25.94,17.68,22.08,28.82,27.83,29.71,28.19,28.10,26.66,24.42,28.55,23.79,43.99,37.61,35.01,37.79,34.20,31.42,29.89,32.68,32.85,46.86,44.25,43.72,44.08,36.62,36.62,34.65,38.24,39.59,46.95,46.50,46.77,46.68,28.64,27.83,26.30,35.46,38.33,45.33,38.96,37.07,38.69,33.39,33.57,30.97,40.31,42.37,47.22,44.97,44.88,45.69,37.16,37.97,35.73,42.46,43.90,47.76,46.86,46.59,46.95,37.25,38.24,38.15,14.18,11.85,13.20,27.38,28.10,28.10,35.01,36.00,36.62,9.96,11.31,10.23,25.22,25.49,25.04,33.66,34.29,34.65,10.95,12.21,11.58,22.35,23.79,22.89,17.77,17.95,19.30,13.73,16.52,16.52,16.34,14.36,17.50,17.50,17.32,17.15,18.49,19.57,24.87,23.61,19.12,23.61,15.08,14.45,15.89,25.94,25.22,31.42,28.82,26.03,29.44,17.50,18.94,19.21,14.54,15.08,17.24,13.73,12.75,15.71,17.95,17.50,15.80,19.39,19.30,27.74,21.54,17.77,22.44,15.17,15.71,16.61,27.92,23.79,34.83,28.19,26.30,29.35,56.82,55.12,58.53,47.40,48.29,51.08,45.15,43.00,52.24,56.01,53.05,56.73,38.42,37.43,41.56,41.11,38.78,45.87,52.42,51.53,55.57,33.75,35.55,36.09,37.43,35.91,42.46,36.62,35.73,38.06,27.65,29.89,29.26,27.47,25.85,30.61,34.20,33.75,36.45,29.53,31.69,31.87,23.16,23.70,25.49,32.41,30.43,34.83,27.56,32.50,30.34,22.62,23.97,23.16,34.56,33.75,35.01,28.01,30.79,30.61,23.25,22.17,27.92,32.32,32.59,34.20,28.64,30.79,31.15,20.38,21.36,22.80,31.60,30.70,33.48,25.94,29.98,29.53,19.84,21.99,21.63
21.45,21.90,21.81,45.96,43.54,5.03,27.20,26.30,28.64,19.93,21.10,19.57,47.49,47.85,12.66,30.16,28.73,29.35,18.85,18.85,19.57,48.47,48.38,24.42,35.91,35.37,35.55,43.72,43.27,42.91,49.01,49.82,42.37,48.47,47.58,48.20,44.43,44.17,44.08,49.28,49.82,47.13,49.37,48.92,49.10,45.33,45.60,45.42,49.37,49.64,47.58,49.19,49.10,49.10,43.36,42.91,42.82,48.92,49.64,45.87,48.74,48.38,48.29,44.79,44.25,44.88,49.37,49.64,48.65,49.01,49.01,49.10,45.78,45.33,45.42,49.46,49.64,48.56,49.10,49.28,49.01,38.78,39.77,39.77,31.33,21.10,25.40,32.41,34.47,31.87,36.45,38.60,38.06,35.10,24.87,29.08,23.97,24.51,24.96,35.37,35.91,33.57,39.86,30.70,33.66,20.56,20.02,21.01,26.48,27.74,26.93,44.08,35.37,39.95,26.30,25.31,27.47,24.96,26.39,26.03,48.83,46.59,46.05,29.80,28.64,30.79,25.49,25.94,26.03,49.28,48.20,48.29,34.74,32.76,34.74,27.02,28.10,28.82,42.82,33.75,39.32,28.10,25.13,26.75,25.85,25.94,27.11,47.76,44.88,46.14,30.43,29.62,31.87,26.75,27.29,27.29,49.19,48.56,48.29,34.29,33.66,34.83,55.92,56.91,56.46,79.53,79.08,77.38,53.41,52.06,56.55,56.19,55.83,55.92,68.58,70.02,71.18,49.82,48.92,54.40,55.39,55.30,56.01,58.98,62.30,64.90,47.13,43.54,51.53,40.04,40.04,41.83,50.27,51.26,51.97,31.51,29.80,34.20,37.61,38.69,40.31,41.56,45.69,43.09,28.46,26.84,31.60,37.61,37.52,39.41,37.34,42.37,40.31,27.20,27.02,28.90,42.10,39.68,42.37,50.99,51.44,51.89,33.12,32.59,36.36,41.47,40.22,41.92,40.22,45.96,44.88,31.96,29.98,34.38,39.23,38.69,40.39,36.00,42.64,39.86,28.10,29.89,32.50
1.26,0.99,0.90,30.25,39.05,45.78,2.15,1.71,2.24,0.90,1.08,0.90,29.26,45.06,44.43,2.96,2.33,3.41,0.81,0.90,0.63,36.36,47.58,34.20,6.28,4.67,6.19,31.24,29.44,30.61,43.63,49.37,43.00,39.41,37.43,41.29,35.82,35.19,34.65,45.69,49.46,44.88,45.06,43.54,45.69,38.06,38.42,37.79,47.94,49.55,46.68,47.58,46.14,47.49,33.75,33.30,33.75,44.61,49.46,45.42,41.29,39.23,42.46,37.79,37.07,36.27,47.58,49.55,47.04,46.32,44.88,46.59,40.39,39.95,38.60,48.65,49.82,48.03,47.76,46.86,48.03,0.99,1.26,0.99,1.26,8.35,10.86,0.72,0.72,0.90,1.08,0.99,0.90,3.50,15.17,20.83,0.90,0.45,0.54,0.81,0.90,1.08,7.00,23.79,25.67,0.99,0.45,0.99,14.45,13.20,13.29,19.12,31.15,23.97,13.20,11.76,14.00,15.62,14.63,15.71,31.06,39.32,31.51,19.57,16.52,21.45,17.41,17.32,18.22,38.33,44.88,36.45,25.85,21.18,26.12,16.88,16.16,16.61,21.99,30.97,22.53,17.32,14.99,17.77,18.22,18.04,18.04,32.23,40.04,31.87,22.98,20.38,23.52,20.38,19.93,20.02,40.57,45.42,38.33,27.56,24.06,28.82,3.68,3.77,4.67,3.50,3.95,4.94,4.13,3.59,5.03,4.13,3.14,4.49,1.89,3.14,2.33,3.68,2.78,5.21,3.68,3.86,3.95,1.89,4.13,3.05,2.87,2.51,4.31,13.64,12.84,13.46,2.69,4.76,3.68,9.87,10.14,10.86,13.82,13.55,13.11,4.04,7.72,5.66,10.95,11.76,10.86,14.09,14.36,13.20,5.66,10.77,8.98,12.12,14.27,11.76,15.44,15.53,15.62,3.05,5.21,3.95,13.73,13.20,13.46,15.80,15.89,15.98,4.40,9.07,4.94,14.36,14.90,14.09,16.70,16.79,16.07,7.63,14.09,7.81,14.99,17.06,15.62
0.99,0.90,1.26,22.08,43.90,42.91,2.60,1.71,4.13,1.08,0.99,0.99,28.64,47.67,39.50,6.37,4.31,8.35,1.62,1.71,1.62,37.79,48.20,33.39,13.20,9.34,14.99,37.79,36.36,36.27,42.82,49.64,43.99,42.82,40.57,43.63,40.39,39.95,39.86,46.86,49.64,46.32,46.86,45.51,47.22,42.73,43.00,41.56,48.29,49.73,48.20,48.47,47.58,48.65,39.14,38.15,38.15,45.78,49.73,45.51,44.88,42.55,44.79,41.83,40.93,41.11,48.11,49.73,48.11,47.22,46.86,48.03,44.08,43.36,43.00,48.65,49.64,48.11,48.74,48.03,48.83,4.13,5.03,5.66,2.78,12.03,8.08,2.87,3.41,3.23,4.22,4.49,5.12,4.76,18.31,17.50,2.24,2.42,2.96,4.67,3.86,4.58,9.96,24.69,21.10,3.05,2.24,3.50,25.13,22.53,23.70,26.21,34.02,18.31,20.38,18.58,21.81,26.21,25.94,26.66,35.82,40.75,29.98,29.26,23.88,30.52,29.53,28.46,29.26,42.10,45.51,36.54,35.28,30.43,36.27,26.39,25.67,26.75,28.64,34.20,20.29,25.13,22.08,27.20,29.44,28.99,29.17,37.97,40.75,32.14,31.96,27.83,32.85,32.41,30.43,32.05,43.72,46.23,40.13,36.27,31.87,39.23,20.02,19.21,20.65,24.60,21.90,27.20,16.34,14.18,20.74,19.12,18.40,21.10,12.84,13.29,15.08,14.36,12.03,18.58,17.95,17.77,19.21,8.80,11.13,9.96,13.11,10.14,16.34,26.84,26.84,26.21,16.07,17.50,18.67,21.54,18.94,23.97,28.10,28.37,27.83,10.59,14.63,14.27,22.08,22.35,24.69,28.82,28.37,28.55,12.21,16.70,14.81,22.89,24.33,25.40,27.65,27.92,27.92,16.43,17.06,18.85,22.89,22.53,25.85,27.11,28.82,28.37,10.95,15.80,12.66,24.69,24.60,27.20,29.08,30.34,29.26,13.02,19.39,13.20,26.03,27.11,29.71
1.08,0.99,1.08,24.78,39.68,43.09,2.15,2.06,2.06,0.72,1.08,1.17,29.62,44.43,39.59,2.87,2.33,3.32,1.08,1.17,0.81,37.34,47.22,34.65,5.03,3.86,5.12,30.43,28.73,29.80,44.61,49.28,45.15,39.77,37.79,40.57,34.38,34.38,33.39,47.22,49.46,47.76,45.33,43.81,45.78,37.70,37.43,36.71,48.83,49.46,48.83,47.49,46.86,47.22,33.21,32.50,32.50,45.78,49.37,45.87,41.20,39.05,42.10,36.54,35.91,35.55,48.56,49.55,48.11,45.69,44.79,45.60,39.14,38.60,37.61,49.19,49.64,49.28,47.49,46.95,48.03,0.72,0.72,0.90,0.81,7.99,9.25,0.54,0.54,0.45,0.54,0.63,0.81,2.69,14.09,17.15,0.63,0.27,0.27,0.45,0.54,0.90,6.10,22.53,20.74,0.63,0.99,0.45,13.20,12.93,12.66,21.01,29.98,19.66,11.67,10.77,12.48,14.27,14.00,14.54,32.23,39.14,29.44,17.68,15.80,19.48,16.16,15.62,16.52,39.50,44.43,36.27,24.24,20.65,25.58,15.53,14.72,15.08,23.34,30.88,20.29,15.80,14.18,16.25,16.34,16.61,15.89,33.57,39.68,30.61,20.65,19.03,20.92,18.49,17.95,17.95,41.92,45.33,38.24,26.03,22.89,26.84,2.15,2.06,2.24,1.26,0.54,1.17,1.53,1.80,2.24,2.33,1.97,2.24,0.63,1.44,0.81,1.35,1.35,1.89,2.33,1.89,2.06,1.17,3.05,1.80,1.53,1.26,1.97,11.31,11.31,11.40,1.97,3.77,1.80,8.62,8.35,8.26,11.49,11.94,11.85,3.23,7.36,3.95,9.43,10.32,8.62,11.76,12.48,11.67,5.48,10.14,7.45,10.50,12.12,9.43,12.93,12.75,13.11,1.89,4.13,1.62,11.13,11.13,11.04,13.46,13.29,12.75,3.68,8.44,3.50,12.03,12.57,10.77,13.38,14.18,13.11,5.92,12.48,6.64,13.46,14.63,12.66
0.81,0.99,0.99,22.44,45.33,41.83,4.76,2.15,6.64,1.71,1.71,1.35,32.23,47.49,38.24,11.67,7.09,13.91,2.78,2.60,2.24,40.57,48.65,36.80,21.36,16.25,21.90,40.13,38.78,39.05,45.69,49.55,45.69,44.88,43.54,46.05,43.63,43.00,42.37,47.67,49.55,47.76,48.29,47.94,48.29,45.06,45.06,44.43,49.10,49.64,48.65,48.92,48.92,49.10,41.20,41.02,41.65,46.86,49.64,46.86,46.05,44.79,47.04,44.52,43.99,43.63,49.10,49.64,48.83,48.29,48.20,48.65,46.50,45.87,46.14,49.37,49.73,48.92,49.01,49.28,49.19,3.23,4.31,3.95,7.27,29.26,7.63,1.44,1.62,1.62,2.60,3.14,2.87,8.35,30.88,15.62,1.17,0.90,1.26,2.06,1.71,2.42,15.08,36.18,16.61,1.89,1.17,1.97,21.63,21.54,21.54,31.42,42.46,18.76,22.26,18.76,23.61,24.96,24.33,26.12,38.33,45.78,30.70,31.51,25.67,32.41,28.46,27.29,28.01,44.34,48.38,38.42,37.52,33.48,38.60,25.76,25.85,25.94,33.39,42.64,22.80,26.93,24.42,28.99,28.82,27.65,27.83,40.39,45.87,34.65,34.38,30.61,34.74,31.60,29.80,30.16,45.96,48.47,40.39,39.68,36.00,40.39,25.31,23.43,29.98,39.50,45.42,39.14,21.54,17.68,28.73,21.90,19.57,25.94,23.16,32.50,24.60,15.44,11.94,18.76,18.67,18.58,22.35,15.62,28.10,17.41,10.68,8.53,14.72,23.88,23.43,26.03,22.26,35.19,23.07,20.74,19.21,24.96,23.07,23.34,24.51,19.03,30.43,19.21,19.03,20.11,21.72,22.98,23.79,23.97,18.58,29.35,19.30,19.48,21.72,21.27,26.75,25.76,28.55,22.53,35.46,22.80,22.80,23.52,27.92,26.12,25.85,26.66,19.12,31.87,17.77,22.44,23.34,25.13,26.03,25.67,26.39,20.20,31.87,16.88,22.35,25.40,25.67
