Id,Url,Height,Width,Iso,Make,Model,QF
51871849590,https://live.staticflickr.com/65535/51871849590_cb866639a5_o.jpg,3456,5184,200.0,Canon,Canon EOS 100D,98.0
51860089710,https://live.staticflickr.com/65535/51860089710_10ba62b1bb_o.jpg,3456,5184,640.0,Canon,Canon EOS 100D,98.0
51858473627,https://live.staticflickr.com/65535/51858473627_0e7df34abc_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51855872093,https://live.staticflickr.com/65535/51855872093_2680ba13ca_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51854989729,https://live.staticflickr.com/65535/51854989729_5198f9dbda_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51847873604,https://live.staticflickr.com/65535/51847873604_a1910108c5_o.jpg,3456,5184,6400.0,Canon,Canon EOS 100D,98.0
51831544806,https://live.staticflickr.com/65535/51831544806_9194a2a10a_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51824326340,https://live.staticflickr.com/65535/51824326340_b80c18b7d4_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51823945909,https://live.staticflickr.com/65535/51823945909_c7d2c439fd_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51807511244,https://live.staticflickr.com/65535/51807511244_38812b3143_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51803045431,https://live.staticflickr.com/65535/51803045431_0611c9f06c_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51798961179,https://live.staticflickr.com/65535/51798961179_8417b3b34d_o.jpg,3456,5184,1250.0,Canon,Canon EOS 100D,98.0
51798587221,https://live.staticflickr.com/65535/51798587221_012a03802b_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51793920993,https://live.staticflickr.com/65535/51793920993_ab371827dd_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51793916578,https://live.staticflickr.com/65535/51793916578_5180fdc2b9_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51791738873,https://live.staticflickr.com/65535/51791738873_c2851fb6d6_o.jpg,3456,5184,400.0,Canon,Canon EOS 100D,98.0
51787131188,https://live.staticflickr.com/65535/51787131188_485fa143de_o.jpg,3456,5184,1000.0,Canon,Canon EOS 100D,98.0
51786059012,https://live.staticflickr.com/65535/51786059012_ca0cf3f5d9_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51781051312,https://live.staticflickr.com/65535/51781051312_249b1b530a_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51777606074,https://live.staticflickr.com/65535/51777606074_a92b8bbc21_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51776660109,https://live.staticflickr.com/65535/51776660109_4089783f9c_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51764268438,https://live.staticflickr.com/65535/51764268438_ef79d65284_o.jpg,3456,5184,1000.0,Canon,Canon EOS 100D,98.0
51764664989,https://live.staticflickr.com/65535/51764664989_9d7016b001_o.jpg,3456,5184,6400.0,Canon,Canon EOS 100D,98.0
51756946696,https://live.staticflickr.com/65535/51756946696_be32b09767_o.jpg,2424,3879,-1,-1,-1,98.0
